#Freq	Total Weight	Target Weight	Gene set 1 (k=4)	Phi 1	Weight function 1
404	17.9205689953	6.06463e+07	ENSP00000358767-uc001eal.1-uc001eak.1, ENSP00000369820-uc004cwr.2-uc010neu.2, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000431688-uc001nnb.2-uc001nnc.2	1.64890552344e-08	E
433	17.9157101949	6.03523e+07	ENSP00000258229-uc001hvl.2-uc001hvm.1, ENSP00000358767-uc001eal.1-uc001eak.1, ENSP00000361565-uc004emy.1-uc004emz.2, ENSP00000404860-uc003fcu.1-uc003fcv.1	1.65693672139e-08	E
349	17.0740951521	2.60127e+07	ENSP00000358694-uc001kyp.1-uc001kyq.1, ENSP00000358767-uc001eal.1-uc001eak.1, ENSP00000361565-uc004emy.1-uc004emz.2, ENSP00000404860-uc003fcu.1-uc003fcv.1	3.84427716509e-08	E
135	16.7735209829	1.92596e+07	ENSP00000358767-uc001eal.1-uc001eak.1, ENSP00000368076-uc002fbm.1-uc010vml.1, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000431688-uc001nnb.2-uc001nnc.2	5.19221174279e-08	E
128	16.5583084884	1.55304e+07	ENSP00000358767-uc001eal.1-uc001eak.1, ENSP00000385839-uc001snt.2-uc009zpn.1, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000431688-uc001nnb.2-uc001nnc.2	6.43899360586e-08	E
65	16.3984125748	1.32355e+07	ENSP00000358767-uc001eal.1-uc001eak.1, ENSP00000366307-uc002wss.2-uc002wst.1, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000431688-uc001nnb.2-uc001nnc.2	7.55544253538e-08	E
46	15.5756967558	5.81352e+06	ENSP00000320797-uc002ixw.1-uc010wol.1, ENSP00000361565-uc004emy.1-uc004emz.2, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000440926-uc003xfp.1-uc003xfq.1	1.72012832422e-07	E
41	15.571688153	5.79026e+06	ENSP00000258229-uc001hvl.2-uc001hvm.1, ENSP00000361565-uc004emy.1-uc004emz.2, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000440926-uc003xfp.1-uc003xfq.1	1.72703747414e-07	E
59	15.5603029853	5.72471e+06	ENSP00000265140-uc003kkr.3-uc003kks.2, ENSP00000284878-uc002yki.2-uc002ykj.1, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000440926-uc003xfp.1-uc003xfq.1	1.74681244247e-07	E
35	15.4364309713	5.05774e+06	ENSP00000296003-uc003brz.2-uc010hcl.2, ENSP00000358767-uc001eal.1-uc001eak.1, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000431688-uc001nnb.2-uc001nnc.2	1.9771663429e-07	E
44	15.4084636338	4.91825e+06	ENSP00000356906-uc001gbz.1-uc001gca.1, ENSP00000361565-uc004emy.1-uc004emz.2, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000440926-uc003xfp.1-uc003xfq.1	2.03324292236e-07	E
56	15.3993401205	4.87358e+06	ENSP00000273261-uc003dmx.2-uc011bfu.1, ENSP00000361565-uc004emy.1-uc004emz.2, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000440926-uc003xfp.1-uc003xfq.1	2.0518781213e-07	E
30	15.35743301	4.67357e+06	ENSP00000219473-uc002fii.2-uc010vof.1, ENSP00000260051-uc001ork.1-uc001orj.2, ENSP00000336580-uc004dap.2-uc004dao.2, ENSP00000467366-uc002lwq.2-uc002lwp.1	2.13969359951e-07	E
